2
9
716	614	20	32	10.0	32.0	
650	582	58	64	27.0 	64.0
576	609	63	37	29.0 	37.0
716	614	20	32	10.0	32.0
650	582	58	64	27.0 	64.0
576	609	63	37	29.0 	37.0
716	614	20	32	10.0	32.0
650	582	58	64	27.0 	64.0
576	609	63	37	29.0 	37.0
30
25	352	44	49	22.0	49.0
84	323	61	82	30.0	82.0
165	310	62	97	40.0	97.0
239	314	86	90	53.0	90.0
337	312	91	88	52.0	88.0
436	323	102	77	52.0	77.0
553	339	51	62	13.0 	62.0
613	323	54	78	24.0 	78.0
685	323	46	84	15.0 	84.0
165	310	62	97	40.0	97.0
239	314	86	90	53.0	90.0
337	312	91	88	52.0	88.0
436	323	102	77	52.0	77.0
553	339	51	62	13.0 	62.0
613	323	54	78	24.0 	78.0
685	323	46	84	15.0 	84.0
165	310	62	97	40.0	97.0
239	314	86	90	53.0	90.0
337	312	91	88	52.0	88.0
436	323	102	77	52.0	77.0
553	339	51	62	13.0 	62.0
613	323	54	78	24.0 	78.0
685	323	46	84	15.0 	84.0
165	310	62	97	40.0	97.0
239	314	86	90	53.0	90.0
337	312	91	88	52.0	88.0
436	323	102	77	52.0	77.0
553	339	51	62	13.0 	62.0
613	323	54	78	24.0 	78.0
685	323	46	84	15.0 	84.0
